Source,Target,Weight
24741384,321278,0.5
20897561,16286131,1.5
28238422,4164482,0.5
13729434,2935735,1.5
33410771,488514,1.0
24325875,16746795,1.0
16746795,24325875,1.5
12310030,9992330,0.5
26094060,1090311,1.5
238983,168370,0.5
507775,7833168,0.5
22442668,7691631,2.0
17293189,3149845,0.5
9603889,3342055,0.5
19289265,22844223,1.0
16286131,8629417,3.5
1362490,11939484,0.5
5617672,26648250,0.5
4331836,4331833,0.5
33653601,33653617,2.5
10312708,11589713,0.5
11589713,10312708,1.5
16584540,30210846,0.5
33410771,1549395,1.0
9139165,22395078,1.0
21347346,29103567,1.5
10453695,17832726,0.5
15971562,890377,0.5
7586424,9996255,2.5
1549395,33493203,0.5
10064545,4380969,0.5
1039520,206084,0.5
30307501,13729434,1.0
10851820,349241,0.5
349241,952189,1.5
6780767,6670942,4.0
11778024,10041891,1.5
9325315,10975056,1.0
20819799,5254650,0.5
1861458,26066727,1.5
3067553,1549395,1.5
23540628,18399519,3.0
20230364,19745004,0.5
10067157,26050796,0.5
27293877,19745004,0.5
942903,24560307,0.5
30027163,12970971,0.5
24750581,20919134,0.5
10755256,3214406,0.5
12256376,13220460,1.0
7792553,3149845,1.0
9996255,9139165,7.0
31001374,30144828,0.5
32120717,20929025,0.5
31227376,31227320,1.0
31227320,31227376,1.0
12127251,2935735,0.5
19704072,203666,0.5
9831101,507775,0.5
3757512,26050796,1.0
28921747,24444557,2.5
16026402,5550567,1.0
27,363387,0.5
16726595,1787757,0.5
19483273,4128353,0.5
29917715,9139165,1.0
658518,2608337,0.5
4243142,33945,0.5
10827035,9996255,1.0
15510233,23540628,2.0
22390925,17728164,0.5
17728164,22390925,0.5
206084,8077760,1.5
3308958,4973784,3.0
32409782,5400018,0.5
33076155,32409782,0.5
27888295,4000279,5.5
1962219,10664,0.5
658518,33653617,1.5
30872453,30805535,0.5
1039520,5483330,0.5
19390712,2006876,6.5
13392416,25959820,0.5
26050796,7083240,0.5
10379106,931039,1.0
19872239,321278,1.0
597879,12670444,0.5
1549395,3067553,1.5
24571765,23899906,0.5
22844223,19289265,0.5
143580,27823188,0.5
29195078,203666,5.5
168370,1090311,1.0
17163720,33588118,0.5
16469697,1039520,2.0
24560307,1272666,0.5
4591033,2935735,0.5
21399598,3319769,0.5
21700420,21679569,0.5
30675223,15778059,0.5
3038446,7786818,0.5
20580498,2006876,1.5
10045175,9325315,0.5
6049573,6015874,0.5
24740684,16396294,0.5
13729434,30307501,0.5
17832726,1028340,0.5
12779410,8962829,0.5
258750,4007018,1.0
7209439,23096959,0.5
15515181,2410676,0.5
33336112,734934,2.5
1028340,17832726,0.5
2481963,7653178,0.5
9996255,12498335,2.0
18351718,21222979,1.0
5952670,16180517,0.5
1460385,1385122,0.5
10067157,22395078,0.5
6246304,3662176,2.0
11796974,14169882,1.0
27931142,27788951,3.5
27931142,27804716,2.5
16384837,19939216,3.5
29491240,24951510,0.5
12677322,321278,0.5
29290473,5483330,0.5
3757512,781028,0.5
268027,32531480,1.0
29455960,10851820,4.0
108278,13824123,0.5
22387458,22584039,1.0
658518,33653601,13.5
34597195,34837037,2.0
24474138,3638964,5.0
29217912,29996513,2.0
11909121,26033134,0.5
26033134,11909121,0.5
14904442,7691631,0.5
6668676,5806776,0.5
